molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL101306,CHEMBL3563,Ki,366.0,nM,CCCN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,trypanosoma_cruzi
CHEMBL280463,CHEMBL368,IC50,70000.0,nM,CCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL110971,CHEMBL368,IC50,70000.0,nM,CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL110971,CHEMBL368,IC50,65800.0,nM,CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL109374,CHEMBL368,IC50,70000.0,nM,CCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL109374,CHEMBL368,IC50,70000.0,nM,CCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL109948,CHEMBL368,IC50,50000.0,nM,CCCCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL111392,CHEMBL368,IC50,70000.0,nM,CCCCCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL111695,CHEMBL368,IC50,70000.0,nM,CCCCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL111695,CHEMBL368,IC50,22360.0,nM,CCCCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL52761,CHEMBL368,IC50,70000.0,nM,CCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL52761,CHEMBL368,IC50,21400.0,nM,CCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL299988,CHEMBL368,IC50,70000.0,nM,CCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL299988,CHEMBL368,IC50,70000.0,nM,CCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL55264,CHEMBL368,IC50,70000.0,nM,CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL55264,CHEMBL368,IC50,18100.0,nM,CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL298547,CHEMBL368,IC50,70000.0,nM,CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL298547,CHEMBL368,IC50,70000.0,nM,CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL113140,CHEMBL368,IC50,70000.0,nM,CCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL113140,CHEMBL368,IC50,50000.0,nM,CCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL324003,CHEMBL368,IC50,70000.0,nM,CCCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL324003,CHEMBL368,IC50,70000.0,nM,CCCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL55810,CHEMBL368,IC50,70000.0,nM,CCCCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL54004,CHEMBL368,IC50,70000.0,nM,CCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL111531,CHEMBL368,IC50,70000.0,nM,CCOP(=O)(OCC)C(CC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL108891,CHEMBL368,IC50,50000.0,nM,CCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL322551,CHEMBL368,IC50,70000.0,nM,CCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL322551,CHEMBL368,IC50,70000.0,nM,CCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL111129,CHEMBL368,IC50,50000.0,nM,CCCCCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL111129,CHEMBL368,IC50,50000.0,nM,CCCCCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL113193,CHEMBL368,IC50,50000.0,nM,CCCCCCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL111593,CHEMBL368,IC50,100000.0,nM,CCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL111593,CHEMBL368,IC50,100000.0,nM,CCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
