molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL2170324,CHEMBL612893,IC50,36900.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCOCC1,schistosoma_mansoni
CHEMBL2170323,CHEMBL612893,IC50,129200.0,nM,CCOC(=O)CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170322,CHEMBL612893,IC50,66600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NC1CCCCC1,schistosoma_mansoni
CHEMBL2170321,CHEMBL612893,IC50,35500.0,nM,CC(c1ccc2ccccc2c1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170320,CHEMBL612893,IC50,110600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCCC1,schistosoma_mansoni
CHEMBL2170319,CHEMBL612893,IC50,65600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NCCc1ccccc1,schistosoma_mansoni
CHEMBL2170318,CHEMBL612893,IC50,50100.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCCCC1,schistosoma_mansoni
CHEMBL2169892,CHEMBL612893,IC50,41400.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccccc1,schistosoma_mansoni
CHEMBL2170317,CHEMBL612893,IC50,112000.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccc([N+](=O)[O-])cc1,schistosoma_mansoni
CHEMBL2170316,CHEMBL612893,IC50,89800.0,nM,C[C@]12OO[C@](C)(OO1)C2CC(Br)CBr,schistosoma_mansoni
CHEMBL2170516,CHEMBL612893,IC50,49800.0,nM,C=CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2169887,CHEMBL612893,IC50,132400.0,nM,C[C@]12OO[C@](C)(OO1)C2CC1CO1,schistosoma_mansoni
CHEMBL2170515,CHEMBL612893,IC50,40000.0,nM,Cc1ccc(CC2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni
CHEMBL2170514,CHEMBL612893,IC50,18800.0,nM,CC(c1ccccc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170513,CHEMBL612893,IC50,33600.0,nM,CC(c1ccc(Br)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170512,CHEMBL612893,IC50,33300.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NC12CC3CC(CC(C3)C1)C2,schistosoma_mansoni
CHEMBL2170511,CHEMBL612893,IC50,30900.0,nM,Cc1ccc(C(C)C2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni
CHEMBL2170510,CHEMBL612893,IC50,37800.0,nM,CCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170509,CHEMBL612893,IC50,35500.0,nM,CC(c1ccc(Cl)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170508,CHEMBL612893,IC50,61500.0,nM,CCCCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170507,CHEMBL612893,IC50,300.0,nM,C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2,schistosoma_mansoni
CHEMBL2170504,CHEMBL612893,IC50,122900.0,nM,CC(C)(C)OOC(C#N)(C#N)C1CCCC1,schistosoma_mansoni
CHEMBL2170503,CHEMBL612893,IC50,40600.0,nM,COc1ccc(CC(C#N)(C#N)OOC(C)(C)C)cc1,schistosoma_mansoni
CHEMBL2170362,CHEMBL612893,IC50,14700.0,nM,CC(C)(C)OOC(C#N)(C#N)Cc1ccccc1,schistosoma_mansoni
CHEMBL2170361,CHEMBL612893,IC50,19300.0,nM,CC(C)(C)OOC(C#N)(C#N)Cc1ccc(Cl)cc1,schistosoma_mansoni
CHEMBL2170357,CHEMBL612893,IC50,126800.0,nM,CCOC(=O)C(C#N)(Cc1ccc(Cl)cc1)OOC(C)(C)C,schistosoma_mansoni
CHEMBL2170356,CHEMBL612893,IC50,59100.0,nM,CCOC(=O)C(Cc1ccccc1)(OOC(C)(C)C)C(=O)OCC,schistosoma_mansoni
CHEMBL976,CHEMBL612893,IC50,2200.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni
CHEMBL361497,CHEMBL612893,IC50,4970.0,nM,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,schistosoma_mansoni
CHEMBL2170350,CHEMBL612893,IC50,125900.0,nM,C1COC(OOC23CC4CC(CC(C4)C2)C3)C1,schistosoma_mansoni
CHEMBL2170349,CHEMBL612893,IC50,376000.0,nM,CC12CCC3(CCC#N)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170348,CHEMBL612893,IC50,348000.0,nM,CC12CCC3(CCC(=O)O)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170347,CHEMBL612893,IC50,287000.0,nM,CC12CCC3(CCC(=O)N4CCOCC4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170346,CHEMBL612893,IC50,213200.0,nM,CC12CCC3(CCC(=O)NC45CC6CC(CC(C6)C4)C5)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170345,CHEMBL612893,IC50,180400.0,nM,CC12CCC3(C)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170344,CHEMBL612893,IC50,45300.0,nM,Cc1ccc([C@]23OO[C@@]4(C)OC(C)(CCC42)O3)cc1,schistosoma_mansoni
CHEMBL2170343,CHEMBL612893,IC50,22500.0,nM,CC12CCC3(CC4CO4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170342,CHEMBL612893,IC50,22300.0,nM,CCCCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni
CHEMBL2170341,CHEMBL612893,IC50,16000.0,nM,CC12CCC3[C@@](C)(OO[C@]3(c3ccc(Cl)cc3)O1)O2,schistosoma_mansoni
CHEMBL2170340,CHEMBL612893,IC50,15600.0,nM,C=CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni
CHEMBL2170339,CHEMBL612893,IC50,14400.0,nM,COc1ccc([C@]23OO[C@@]4(C)OC(C)(CCC42)O3)cc1,schistosoma_mansoni
CHEMBL2170338,CHEMBL612893,IC50,13400.0,nM,CC12CCC3(Cc4ccccc4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
