molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL51746,CHEMBL367,IC50,5000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL53033,CHEMBL367,IC50,5500.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL54012,CHEMBL367,IC50,43000.0,nM,CCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL298557,CHEMBL367,IC50,13000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL299079,CHEMBL367,IC50,27000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CC)CC)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL299414,CHEMBL367,IC50,50000.0,nM,CCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL53586,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC(C)C)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL298564,CHEMBL367,IC50,3700.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL54952,CHEMBL367,IC50,32000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(OC)cc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL116390,CHEMBL367,IC50,17000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)NOCc1ccccc1,leishmania_donovani
CHEMBL7976,CHEMBL367,IC50,20000.0,nM,O=C(/C=C/c1ccccc1)c1ccccc1,leishmania_donovani
CHEMBL145666,CHEMBL367,IC50,106000.0,nM,COc1cc(OC)c(/C=C/C(=O)c2ccc(O)cc2)c(OC)c1,leishmania_donovani
CHEMBL145495,CHEMBL367,IC50,15000.0,nM,O=C(/C=C/c1ccccc1)c1ccc(F)cc1,leishmania_donovani
CHEMBL58124,CHEMBL367,IC50,15000.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2F)c(OC)c1OC,leishmania_donovani
CHEMBL113666,CHEMBL367,IC50,48000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)N(OCc1ccccc1)C(C)=O,leishmania_donovani
CHEMBL139702,CHEMBL367,IC50,13000.0,nM,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,leishmania_donovani
CHEMBL144875,CHEMBL367,IC50,16000.0,nM,COc1ccc(C(=O)/C=C/c2ccc(F)c(F)c2)c(OC)c1,leishmania_donovani
CHEMBL138618,CHEMBL367,IC50,95000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,leishmania_donovani
