molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL55225,CHEMBL367,IC50,2600.0,nM,CCCCN(CCCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani,5.585026652029182
CHEMBL53153,CHEMBL367,IC50,5000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani,5.301029995663981
CHEMBL54094,CHEMBL367,IC50,60000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccn2)cc1[N+](=O)[O-],leishmania_donovani,4.221848749616356
CHEMBL52597,CHEMBL367,IC50,23000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-],leishmania_donovani,4.638272163982407
CHEMBL298397,CHEMBL367,IC50,21000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)c2ccccc2)cc1[N+](=O)[O-],leishmania_donovani,4.6777807052660805
CHEMBL295960,CHEMBL367,IC50,65000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],leishmania_donovani,4.187086643357144
CHEMBL51746,CHEMBL367,IC50,5000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani,5.301029995663981
CHEMBL53033,CHEMBL367,IC50,5500.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani,5.259637310505756
CHEMBL54012,CHEMBL367,IC50,43000.0,nM,CCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.366531544420414
CHEMBL298557,CHEMBL367,IC50,13000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1[N+](=O)[O-],leishmania_donovani,4.886056647693163
CHEMBL299079,CHEMBL367,IC50,27000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CC)CC)cc1[N+](=O)[O-],leishmania_donovani,4.568636235841013
CHEMBL299414,CHEMBL367,IC50,50000.0,nM,CCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.301029995663981
CHEMBL53586,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC(C)C)cc1[N+](=O)[O-],leishmania_donovani,4.0
CHEMBL298564,CHEMBL367,IC50,3700.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],leishmania_donovani,5.431798275933005
CHEMBL54952,CHEMBL367,IC50,32000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(OC)cc2)cc1[N+](=O)[O-],leishmania_donovani,4.494850021680094
CHEMBL116390,CHEMBL367,IC50,17000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)NOCc1ccccc1,leishmania_donovani,4.769551078621726
