molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL2170353,CHEMBL612893,IC50,15100.0,nM,CCOC(=O)C(Cc1ccccc1)(OOC(C)(C)C)C(C)=O,schistosoma_mansoni,4.82102305270683
CHEMBL2170352,CHEMBL612893,IC50,795000.0,nM,CC(=O)C(C)(OOC(C)(C)C)C(C)=O,schistosoma_mansoni,3.0996328713435295
CHEMBL2170351,CHEMBL612893,IC50,104000.0,nM,CCOC(=O)CCC(OOC(C)(C)C)(C(C)=O)C(C)=O,schistosoma_mansoni,3.9829666607012197
CHEMBL976,CHEMBL612893,IC50,210000.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni,3.677780705266081
CHEMBL2235087,CHEMBL612893,IC50,3420000.0,nM,Cn1c2nc3ccccc3c-2c(NCCCN2CCN(CCCNc3c4c5ccccc5nc-4n(C)c4ccc(Cl)cc34)CC2)c2cc(Cl)ccc21,schistosoma_mansoni,2.465973893943865
CHEMBL2235094,CHEMBL612893,IC50,4610000.0,nM,CN1CCN(c2c3c4ccccc4nc-3n(C)c3ccc(C(F)(F)F)cc23)CC1,schistosoma_mansoni,2.336299074610352
CHEMBL2235092,CHEMBL612893,IC50,3070000.0,nM,Cn1c2nc3ccccc3c-2c(Nc2ccccc2)c2ccccc21,schistosoma_mansoni,2.5128616245228135
CHEMBL2058005,CHEMBL612893,IC50,2700000.0,nM,Cn1c2nc3ccccc3c-2c(NCCc2c[nH]c3ccccc23)c2ccccc21,schistosoma_mansoni,2.5686362358410126
CHEMBL2235090,CHEMBL612893,IC50,3730000.0,nM,Cn1c2nc3ccccc3c-2c(Nc2ccc(C(F)(F)F)cc2)c2ccccc21,schistosoma_mansoni,2.428291168191312
CHEMBL976,CHEMBL612893,EC50,1600.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni,5.795880017344075
CHEMBL1235551,CHEMBL612893,EC50,500.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1,schistosoma_mansoni,6.301029995663981
CHEMBL3264245,CHEMBL612893,EC50,78100.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1,schistosoma_mansoni,4.1073489661227
CHEMBL3264246,CHEMBL612893,EC50,53300.0,nM,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N3CC(=O)N4CCc5ccccc5[C@@H]4C3)=[N+]1[B-]2(F)F,schistosoma_mansoni,4.273272790973428
CHEMBL3264248,CHEMBL612893,EC50,132100.0,nM,C#CCN(C(=O)c1ccc(C2(C(F)(F)F)N=N2)cc1)c1ccc(C(=O)N2CC(=O)N3CCc4ccccc4[C@@H]3C2)cc1,schistosoma_mansoni,3.8790971823854727
CHEMBL3264249,CHEMBL612893,EC50,300000.0,nM,C#CCN(Cc1ccc(C(=O)N2CC(=O)N3CCc4ccccc4[C@@H]3C2)cc1)C(=O)CCCCCNC(=O)CCC1(C)N=N1,schistosoma_mansoni,3.5228787452803374
CHEMBL3322357,CHEMBL6110,IC50,50000.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc(OCCCOc4nonc4S(=O)(=O)c4ccccc4)cc3C2C1,schistosoma_mansoni,4.301029995663981
CHEMBL3322356,CHEMBL6110,IC50,8500.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc(OCCCOc4no[n+]([O-])c4S(=O)(=O)c4ccccc4)cc3C2C1,schistosoma_mansoni,5.070581074285707
CHEMBL3322355,CHEMBL6110,IC50,50000.0,nM,N#Cc1nonc1COc1ccc2c(c1)C1CN(C(=O)C3CCCCC3)CC(=O)N1CC2,schistosoma_mansoni,4.301029995663981
CHEMBL3322294,CHEMBL6110,IC50,50000.0,nM,NC(=O)c1nonc1COc1ccc2c(c1)C1CN(C(=O)C3CCCCC3)CC(=O)N1CC2,schistosoma_mansoni,4.301029995663981
CHEMBL3322293,CHEMBL6110,IC50,350.0,nM,N#Cc1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],schistosoma_mansoni,6.455931955649724
CHEMBL3322292,CHEMBL6110,IC50,83.0,nM,NC(=O)c1c(COc2ccc3c(c2)C2CN(C(=O)C4CCCCC4)CC(=O)N2CC3)no[n+]1[O-],schistosoma_mansoni,7.080921907623926
CHEMBL3322291,CHEMBL6110,IC50,50000.0,nM,N#Cc1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni,4.301029995663981
CHEMBL3322290,CHEMBL6110,IC50,50000.0,nM,NC(=O)c1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni,4.301029995663981
CHEMBL3322289,CHEMBL6110,IC50,50000.0,nM,COC(=O)c1nonc1C(=O)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni,4.301029995663981
CHEMBL3322288,CHEMBL6110,IC50,316.0,nM,N#Cc1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],schistosoma_mansoni,6.5003129173815966
CHEMBL3322287,CHEMBL6110,IC50,10.0,nM,NC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],schistosoma_mansoni,8.0
CHEMBL3322286,CHEMBL6110,IC50,148.0,nM,COC(=O)c1c(C(=O)N2CC(=O)N3CCc4ccccc4C3C2)no[n+]1[O-],schistosoma_mansoni,6.8297382846050425
CHEMBL336467,CHEMBL6110,IC50,5000.0,nM,N#Cc1c(-c2ccccc2)no[n+]1[O-],schistosoma_mansoni,5.301029995663981
CHEMBL3338774,CHEMBL612893,IC50,1.37,ug.mL-1,COC(=O)[C@]12CC[C@@H](C(C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)C[C@H](CCC[P+](c5ccccc5)(c5ccccc5)c5ccccc5)[C@@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2.[Br-],schistosoma_mansoni,8.863279432843592
CHEMBL3338775,CHEMBL612893,IC50,1.46,ug.mL-1,COC(=O)[C@]12CC[C@@H](C(C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)C[C@H](CCC[P+](c5ccccc5)(c5ccccc5)c5ccccc5)[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2.[Br-],schistosoma_mansoni,8.835647144215564
CHEMBL3338780,CHEMBL612893,IC50,0.76,ug.mL-1,C=C(C[P+](c1ccccc1)(c1ccccc1)c1ccccc1)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.[Br-],schistosoma_mansoni,9.119186407719209
CHEMBL3338781,CHEMBL612893,IC50,0.64,ug.mL-1,C=C(C[P+](c1ccccc1)(c1ccccc1)c1ccccc1)[C@@H]1CC[C@]2(COC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.[Br-],schistosoma_mansoni,9.193820026016112
CHEMBL3338782,CHEMBL612893,IC50,6.35,ug.mL-1,COC(=O)[C@]12CC[C@@H](C(C)CI)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)C[C@H](CCC[P+](c5ccccc5)(c5ccccc5)c5ccccc5)[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2.[I-],schistosoma_mansoni,8.197226274708024
CHEMBL3597041,CHEMBL612893,IC50,7400.0,nM,CC(C)C[C@]12C[C@](C)(OO1)OO2,schistosoma_mansoni,5.130768280269024
CHEMBL3597042,CHEMBL612893,IC50,20900.0,nM,CC[C@]12C[C@](CC(C)C)(OO1)OO2,schistosoma_mansoni,4.679853713888946
CHEMBL3597043,CHEMBL612893,IC50,12100.0,nM,CC(C)(C)[C@]12C[C@](C(C)(C)C)(OO1)OO2,schistosoma_mansoni,4.91721462968355
CHEMBL3597044,CHEMBL612893,IC50,2000.0,nM,C[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2,schistosoma_mansoni,5.698970004336019
CHEMBL3597045,CHEMBL612893,IC50,2000.0,nM,CC[C@]12C[C@](C34CC5CC(CC(C5)C3)C4)(OO1)OO2,schistosoma_mansoni,5.698970004336019
CHEMBL3597046,CHEMBL612893,IC50,1800.0,nM,CC(C)C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2,schistosoma_mansoni,5.7447274948966935
CHEMBL3597047,CHEMBL612893,IC50,10900.0,nM,CC(=O)CCC1(Cc2ccccc2)[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.962573502059376
CHEMBL3597048,CHEMBL612893,IC50,23600.0,nM,CC(=O)CCC1(Cc2ccc([N+](=O)[O-])cc2)[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.627087997029894
CHEMBL3597049,CHEMBL612893,IC50,9800.0,nM,CC(=O)CCC1(Cc2ccc(C)cc2)[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,5.008773924307505
CHEMBL3597039,CHEMBL612893,IC50,7200.0,nM,C[Si]1(C)CC[Si](C)(C)OOC2(CCCCCCCCCCC2)OO1,schistosoma_mansoni,5.142667503568732
CHEMBL3597038,CHEMBL612893,IC50,4000.0,nM,CC(C)(C)C1CCC2(CC1)OO[Si](C)(C)CC[Si](C)(C)OO2,schistosoma_mansoni,5.3979400086720375
